1,2,3,4,5,6,OME 6-2016,OME Data type
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Mechanism,,,,,,
,Algorithm,,,,,,
,TwoStep,,,,,,
,Wavelength,,,,,,
,AnnotationRef,,,,,,
,,,,,,,
OpticalAssembly,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,FilterRef,,,,,,
,LensRef,,,,,,
,MirrorringDeviceRef,,,,,,
,OpticalApertureRef,,,,,,
,PolarizationOpticsRef,,,,,,
,PrismRef,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",BeamCollimator,,,,,
,,,,,,,
,,BeamExpander,,,,,
,,,Configuration,,,,
,,,,,,,
,,Condenser,,,,,
,,,Correction,,,,
,,,Type,,,,
,,,,,,,
,,MicroscopeTube,,,,,
,,,Type,,,,
,,,MechanicalLength,,,,
,,,OpticalLength,,,,
,,,Factor,,,,
,,,,,,,
OpticalAperture,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,OpticsHolderPosition,,,,,,
,OuterDiameter,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",DarkFieldStop,,,,,
,,,CenterStopDiameter,,,,
,,,,,,,
,,PhaseRing,,,,,
,,,PhaseNumber,,,,
,,,CenterStopDiameter,,,,
,,,SlitWidth,,,,
,,,,,,,
,,HoffmanPlate,,,,,
,,,Design,,,,
,,,,,,,
,,IrisDiaphragm,,,,,
,,,MaxApertureDiameter,,,,
,,,Shape,,,,
,,,,,,,
,,VarelRing,,,,,
,,,,,,,
,,Shutter,,,,,
,,,ResponseTime,,,,
,,,Function,,,,
,,,OperationFrequency,,,,
,,,Motorized,,,,
,,,MaxApertureDiameter,,,,
,,,Multimode,,,,
,,,,,,,
Lens,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Magnification,,,,,,
,LensNA,,,,,,
,Infinity,,,,,,
,Composite,,,,,,
,Shape,,,,,,
,Geometry,,,,,,
,Diameter,,,,,,
,Coating,,,,,,
,AttenuationCoefficient,,,,,,
,WorkingDistance,,,,,,
,ImageDistance,,,,,,
,FrontFocalLength,,,,,,
,BackFocalLength,,,,,,
,RadiusOfCurvature,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,RefractiveIndex,,,,,,
,AbbeNumber,,,,,,
,Density,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",MagnificationChanger,,,,,
,,,,,,,
,,GenericLens,,,,,
,,,,,,,
,,BeamExpanderLens,,,,,
,,,,,,,
,,BeamCollimatorLens,,,,,
,,,,,,,
,,CondenserLens,,,,,
,,,,,,,
,,CouplingLens,,,,,
,,,,,,,
,,RelayLens,,,,,
,,,,,,,
,,TubeLens,,,,,
,,,,,,,
PolarizationOptics,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Function,,,,,,
,CrossPolarizer,,,,,,
,DIC,,,,,,
,BeamSplitter,,,,,,
,FaradayIsolator,,,,,,
,Construction,,,,,,
,Retardation,,,,,,
,Fabrication,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
,,WavelengthProfileFile,,,,,
,,,,,,,
Prism,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,DIC,,,,,,
,Function,,,,,,
,Condenser,,,,,,
,OilObjective,,,,,,
,Compound,,,,,,
,RefractiveIndex,,,,,,
,Reflectance,,,,,,
,AngleOfIncidence,,,,,,
,DeviationAngle,,,,,,
,PrismAngle,,,,,,
,Design,,,,,,
,AbbeNumber,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,Density,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
