Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
3,,,TableDepth,,,,,The Depth of this Microscope Table ,float with unit:TableWidthUnit,,,,,,,
2,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
e,e,,,,,,,,,,,,,,,
1,Y,EnvironmentalControlDevice,,,,,,This element describes an Environmental Control Device available for this Instrument to maintain a controlled Imaging Environment during Imaging Environment.,-,,ManufacturerSpecs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,EnvironmentalControlDeviceID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,TemperatureControl,,,,,"This field captures whether this Environmental Control Device provides Temperature control and what type of control it provides. If no Temperature control is provided please enter ""None"".",enum,"None, Cage-incubator enclosure, Objective heather, Stage-top chamber, Other",EnvironmentalControlType,R,,,,
1,Y,,HumidityControl,,,,,"This field captures whether this Environmental Control Device provides Humidity control and what type of control it provides. If no Humidity control is provided please enter ""None"".",enum,"None, Active, Passive, Mineral oil, Water-bath, Other",HumidityControlMethod,R,,,,
1,Y,,CO2Control,,,,,"This field captures whether this Environmental Control Device provides CO2 control and what type of control it provides. If no CO2 control is provided please enter ""None"".",enum,"None, Gas mixer, Pre-mixed, Other",CO2ControlMethod,R,,,,
2,,,O2Control,,,,,This field captures whether (True) or not (False) this Environmental Control Device provides vibration control.,boolean,,,R,,,,
2,,,VibrationControl,,,,,This field captures whether (True) or not (False) this Environmental Control Device provides O2 control.,boolean,,,,,,,
2,,,StandCompatibility,,,,,This field captures what Microscope Stand type this Environmental Control Chamber is compatible with.,enum,"Inverted, Upright, Other",EnvironmentalStandCompatibility,R,,,,
2,,,Perfusion,,,,,This field caputers whether (True) or not (False) this Environmental Control Device supports sample Perfusion.,boolean,,,R,,,,
2,,,LidMaterial,,,,,"In case this Environmental Control Device consists of a Sample Holder Chamber, this field captures the Material that constitutes the Lid of the Chamber.",string,,,,,,,
3,,,MaxTemberature,,,,,This field captures the Maximum Temperature that can be stably maintained by this Environmental Control Device.,float with unit:MinTemperatureUnit,,,R,,,,
3,,,MinTemperature,,,,,This field captures the Minimum Temperature that can be stably maintained by this Environmental Control Device.,float with unit:MaxTemperatureUnit,,,R,,,,
3,,,TemperatureAccuracy,,,,,This field captures the Temperature control Accuracy provided by this Environmental Control Device.,float with unit:TemperatureAccuracyUnit,,,,,,,
3,,,TTL,,,,,This field captures whether (True) or not (False) this Environmental Control Device can be controlled by a TTL signal.,boolean,,,,,,,
2,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
e,e,,,,,,,,,,,,,,,
1,,LightSource-APE,,,,,,"This element describes one or more Light Source(s) available for this Instrument.  An Instrument may have several Light Sources of different types (Laser, Light Emitting Diode, Filament, Arc etc.). A typical fluorescence Microscope has two Light Sources, one for Transmitted light and one for Fluorescence light.",Substitution : choose one of the children elements from the list below,"Arc, Filament, GenericExcitationSource, Laser, LightEmittingDiode, MultiLaserEngine",ManufacturerSpecs extension  base,1 ... ∞,,same,0 ... ∞,SubstitutionGroup
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
