Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
3,,,Design,,,,,This field records the shape of the Prism with specific reference to the angles defined by its faces.,enum,"Rhomboid, Wedge, Glan-Focault, Glan-Taylor, Glan-Thompson, Nicol, Nomarski, Rochon, Senarmont, Wollaston, Abbe-Konig, Amici-roof, Dove, Penta, Porro, Porro-Abbe, Right-Angle, Schmidt–Pechan, Abbe, Amici, Grism, Pellin–Broca, Triangular, Other",PrismDesign,,,,,
3,,,AbbeNumber,,,,,"This field records the Abbe number of this Prism. The Abbe Number is a measure of the material's dispersion (variation of Refractive Index versus Wavelength), with high values indicating low dispersion.",float with unit:none,,,,,,,
3,,,MaterialName,,,,,This field records the chemical composition or designation of the Material this Prism is made of.,enum,"alpha-Barium Borate, Barium Crown (BAK/N-BAK), Barium Flint (BAF/N-BAF), Barium Heavy Flint (BASF/N-BASF), Barium Light Flint (BALF/N-BALF), Borofloat, Boron Crown (BK/N-BK), Borosilicate, Calcite, Calcium Fluoride (CaF2), Crown (K/N-K), Crown Flint (KF/N-NK), Crystal Quartz, Dense Crown (SK/N-SK), Dense Flint (SF/N-SF), Extra Dense Crown (SSK/N-SSK), Extra Ligh Flint (LLF), Flint (F/N-F), Fluorine Crown (FK/N-FK), Germanium, Lanthanum Crown (LAK/N-LAK), Lanthanum Dense Flint (LASF/N-LASF), Lanthanum Flint (LAFN/N-LAF), Light Flint (LF), Magnesium Fluoride (MgF2), Phosphate Crown (PK/N-PK), Phosphate Dense (PSK/N-PSK), Polytetrafluoroethylene (PFTE), Pyrex, Rutile (TiO2), Short Flint Special (KZFS/N-KZFS), Silicon (Si), UV-Grade Fused Silica (UVFS), Yttrium Orthovanadate (YVO4), Zerodur (Lithium Aluminum Silicon Oxide), Zinc Crown (ZK/N-ZK), Zinc Selenide (ZnSe), Other",OpticalMaterialName,,,,,
3,,,GlassCode,,,,,"If available, this field records the international Glass Code of the material that constitutes this Prism. The Glass Code designation is based on U.S. military standard MIL-G-174, and it consists of a six-digit number specifying the glass according to its Refractive Index nd at the Fraunhofer d- (or D3-) line, and its Abbe Number Vd also taken at that line. The resulting Glass Code is the value of nd-1 rounded to three digits, followed by Vd rounded to three digits, with all decimal points ignored. For example, BK7 has nd = 1.5168 and Vd = 64.17, giving a six-digit Glass Code of 517642.",sring,,,,,,,
3,,,Density,,,,,This field records the Density of the material this Prism is made of.,float with unit:DensityUnit,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
3,,,WavelengthRange,,,,,"This element records a range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
2,,,,PeakWavelength,,,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,,R,,,,
2,,,,CutOn,,,,"This field records the Wavelength(s) below which there is less than 50% Transmittance for this optical element. In case a CutOn Wavelength is not available, such as in the case of a ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
2,,,,CutOff,,,,"This field records the Wavelength(s) above which there is less than 50% Transmittance for this optical element. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
3,,,,WavelengthProfileFile,,,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Detector-APE,,,,,,"This element describes a Detector available for this Instrument. An Instrument may have more than one Detector of different types, such as a Photomultiplier, or a Camera. The Detector ID can be used as a reference within the Channel element. The values stored in Detector represent the fixed values, variable values modified during the Acquisition go in DetectorSettings.",Substitution : choose one child from the list below,"Camera, Photomultiplier",Manufacturer Specs,1 … ∞,,was simple Class,,Element
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,DetectorID,,,R,,same,R,LSID
,,,removed OME field(s),,,,,,,,,,,Type,,
,,,,,,,,,,,,,,Gain,,
,,,,,,,,,,,,,,AmplificationGain,,
,,,,,,,,,,,,,,Offset,,
,,,,,,,,,,,,,,Voltage,,
,,,,,,,,,,,,,,Zoom,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,Mount,,,,,This field records the type of Mount used to connect this detector to the Microscope Stand.,enum,"C-mount, D-SLR adapter, SLR adapter, T-mount, Other",DetectorMount,R,,,,
2,,,MaxBitDepth,,,,,This field records the Maximum Bit Depth provided by the Detector's Analog to Digital Converter (ADC; also referred to as Digitizer).,enum,"8bit, 12bit, 14bit, 16bit, 32bit, 64bit",DigitizerType,R,,,,
2,,,QuantumEfficiency,,,,,"This field records the Quantum Efficiency observed at Peak Wavelength, according to the Manufacturer. Quantum Efficiency is generally defined as is the ratio of incident photons to converted electrons. Typically expressed as a number between 0 and 1.",float with unit:none,,,R,,,,
2,,,ElectronConversionFactor,,,,,"This field records the Electron-Conversion Factor for this Detector, as specified by the Manufacturer. The Electron Conversion Factor relates the actual number of electrons generated by the Detector with the digital number associated with each Pixel. It is expressed in electrons/Analog-to-Digital-Unit (ADU). Note that ADU can also be referred to as Digital Number (DN) or Binary Number. It is sometimes referred to as Digital Gain or, in case of CCD cameras as CCD Gain.",float with unit:none,,,R,,,,
2,,,ReadOutNoise,,,,,"This field captures the Read-out Noise associated with this Detector, as specified by the Manufacturer. Read-out Noise is a constant amount of noise and it includes thermal noise build-up and clock induced charge added by the CCD chip, the readout amplifier and surrounding electronics. It is generally expressed in photo-electrons (i.e., e- root-mean-square).",float with unit:ReadNoiseUnit,,,R,,,,
2,,,DetectorNoiseModel,,,,,This field records the Noise Model associated with this Detector.,enum,"Gaussian, Poisson, Other",DetectorNoiseModel,R,,,,
2,,,DarkCurrentRate,,,,,This field records the Dark Current Rate of this Detector as specified by the Manufacturer. The Dark Current Rate is the median current detected in the absence of light. Generally expressed in e-/pixel/sec.,float with unit:DarkCurrentRateUnit,,,R,,,,
2,,,DynamicRange,,,,,This field records the Dynamic Range of this Detector in deciBel (dB).,float with unit:DynamicRangeUnit; [default dB],,,,,,,
3,,,AmbientOperatingTemperature,,,,,"This field records the Ambient Temperature at which this Detector is designed to operate, according to the Manufacturer.",float with unit:TemperatureUnit; [default: Celsius ºC],,,,,,,
3,,,AmbientOperatingHumidity,,,,,"This field records the Ambient Humidity at which this detector is designed to operate, according to the Manufacturer.",float with unit:none,,,,,,,
1,Y,,RelayLensRef,,,,,This field contains a reference to a Lens positioned at the Mount connecting this Detector to the Microscope Stand.,Extension of Reference,,,0 … 1,,,,
2,,,WavelengthRange,,,,,"This element records the Range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
2,,,,PeakWavelength,,,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,,R,,,,
2,,,,CutOn,,,,"This field records the Wavelength(s) below which there is less than 50% Transmittance for this optical element. In case a CutOn Wavelength is not available, such as in the case of a ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
2,,,,CutOff,,,,"This field records the Wavelength(s) above which there is less than 50% Transmittance for this optical element. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
3,,,,WavelengthProfileFile,,,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
,,,,,,,,,,,,,,,,
1,Y,,"substitution group 
(choose one or more)",Camera-APE,,,,"This element describes a Camera available for this Instrument. A Camera is a device that converts optical brightness into an electrical signal using a grid of pixel sensor unit cells and then reproduces an image of the specimen. An Instrument may have more than one camera of different types, such as traditional CCD, EMCCD, Intensified EMCCD, sCMOS, or Analog Video.",,"CCD, EMCCD, AnalogVideo, CMOS, Intensified CCD, Intensified CMOS",Substitution : choose one child from the list below,,,,,
1,Y,,,,ArrayWidth,,,"This field records the Width of this Camera chip or sensor area, expressed in Pixel.",integer with unit:none,,,,,,,
1,Y,,,,ArrayHeight,,,"This field records the Height of this Camera chip or sensor area, expressed in Pixel.",integer with unit:none,,,,,,,
1,Y,,,,PixelWidth,,,This field records the Physical Width of each Camera Pixel.,float with unit:PixelWidthUnit; default:µm,,,R,,,,
1,Y,,,,PixelHeight,,,This field records the Physical Height of each Camera Pixel.,float with unit:PixelHeightUnit; default:µm,,,R,,,,
2,,,,,Illumination,,,This field records the type of illumination the Camera chip receives.,enum,"Back, Front, Other",CameraIllumination,R,,,,
2,,,,,ManufacturerOffset,,,This field reports the Camera Offset when it is pre-set by the Manufacturer. The Offset is an electronic baseline added to the output signal from the sensor to ensure that the displayed signal level is always a positive number of counts.,float with unit:none,,,,,,,
2,,,,,Color,,,This field records whether this is a Color Camera and what type it is.,enum,"none, 3-Sensor, Bayer, CYGM, MultiLayer, Other",ColorMode,,,,,
3,,,,,PixelWellCapacity,,,"This field records the maximum amount of charge each Pixel Well can hold, measured in electron counts.",integer with unit:PixelWellCapacity,,,R,,,,
2,,,,,MaximumFrameRate,,,This field records the maximal rate at which this Camera can acquire a single full-frame.,float with unit:MaximumFrameRateUnit ; [default fps],,,R,,,,
3,,,,,MaximumReadoutRate,,,This field records the maximal pixel Readout Rate allowed by this Camera.,float with unit:MaximalReadoutRateUnit; [default pixel per second],,,R,,,,
3,,,,,VerticalClockSpeed,,,This field records the maximal speed at which each vertical column of pixels in the camera chip can be shifted down and read.,float with unit:VerticalClockSpeedUnit,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",AnalogVideo,,This element represents a device used to capture Analog Videos.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,CCD,,This element represents a Charged Coupled Device Camera.,,,,,,,,
1,Y,,,,,,Type,This field records the Type of CCD Camera used in this case.,enum,"Conventional, EMCCD, Other",CCDType,,,,,
2,,,,,,,CCDArchitecture,This field captures the Architecture of this CCD Camera and its  associated Transfer Mode.,enum,"Frame transfer, Full-frame, Interline transfer",CCDArchitecture,,,,,
3,,,,,,,RegisterWellCapacity,"This field records the maximum amount of charge each read-out register well can hold, measured in electron counts.",integer with unit:RegisterWellCapacity,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,CMOS,,This field records a complementary metal–oxide–semiconductor camera,,,,,,,,
1,Y,,,,,,Type,This field records the Type of CMOS Camera used.,enum,"Conventional, Scientific, Other",CMOSType,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,IntensifiedCamera,,This field records an intensified Camera.,,,,,,,,
2,,,,,,,SensorType,This field records the Type of Sensor used in this case.,enum,"CCD, CMOS, Other",SensorType,R,,,,
2,,,,,,,IntensifierType,This field records the Type of Intensifier used for this Camera.,enum,"Conventional, EBCCD, MicroChannelPlate, Other",IntensifiedCCDType,R,,,,
3,,,,,,,RegisterWellCapacity,"This field records the maximum amount of charge each read-out register well can hold, measured in electron counts.",integer with unit:RegisterWellCapacity,,,,,,,
e,,,,,,,,,,,,,,,,
1,Y,,,PointDetector-APE,,,,This element represents any Detector that collects light from a restricted point-like area of an image. These detectors are typically used in Laser Scanning Confocal Microscopy.,,"Photomultiplier, PhotoDiode, Hybrid Photodetector",,,,,,
1,Y,,,,Coating,,,"This field records the Coating Material used to increase the photoelectric properties of the metallic cathode used in this Detector. The coating releases electrons much more readily than the underlying metal, allowing it to detect the low-energy photons in infrared radiation. The lens transmits the radiation from the object being viewed to a layer of coated glass. The photons strike the metal surface and transfer electrons to its rear side. The freed electrons are then collected to produce the final image.",enum,"Bi-alkali, Multi-alkali, Gallium arsenide - GaAs, Gallium arsenide phosphide - GaAsP, Other",CoatingMaterial,R,,,,
1,Y,,,,SignalProcessing,,,This field describes the method employed by this device to process the output signal and convert it into a measure of incident light intensity. In Photon Counting mode the system is set in a manner in which each photon hitting the head of the detector gives either no or 1 diskrete pulse. This way by counting the pulses one is sure to be counting individual photons. In Analog mode the system is set so the mean value of all signal pulses is used as a measure of intensity.,enum,"Analog, Photon counting, Other",SignalProcessingMode,,,,,
3,,,,,ResponseTime,,,This field records the Time required for the Detector to respond to an optical input.,float with unit:ResponseTimeUnit,,,,,,,
3,,,,,DeadTime,,,This field records the Time required for the Detector to become responsive again after being hit by a photon.,float with unit:DeadTime,,,,,,,
3,,,,,RadiantSensitivity,,,This field records the Radiant Sensitivity observed with this Detector at the peak Wavelength,float with unit:RadiantSensitivityUnit,,,R,,,,
1,Y,,,,"substitution group 
(choose one or more)",PhotoMultiplier,,"A Photomultiplier Tube (PMT) is a photoemissive device in which the absorption of a photon results in the emission of an electron and it is used for the detection of very weak signals. These Detectors work by amplifying the electrons generated by a photocathode exposed to a photon flux. The higher the supplied voltage (PMTVoltage setting), the greater the amplification of the current (PMTGain setting) and thus sensitivity, but also the higher the noise in the acquired image. The amplifier offset (PMTOffset setting) defines black level setting of the image. A PMT has no inherent spatial information of the image.",,,,,,,,
2,,,,,,,CollectionEfficiency,"This field measures the probability that photoelectrons will land on the effective area of the first dynode of the photomultiplier stage. While there might be dispersion at the second and later dynodes, this tends to have less of an effect on the total collection efficiency as the number of emitted electrons increases greatly.",percentageFraction,,,R,,,,
2,,,,,,,Multianode,This field records whether (True) or not (False) this is Photo Multiplier Tube is composed of an array of multiple ,boolean,,,R,,,,
3,,,,,,,MultianodeChannelNr,"In case this Detector is a Multianode composed of an array of multiple Photomultiplier Tubes, this field records the number of Channels it consists of.",integer with unit:none,,,,,,,
3,,,,,,,MultianodeArrangement,"In case this Detector is a Multianode composed of an array of multiple Photomultiplier Tubes, this field records the arrangement of the individual Photomultiplier Tubes.",enum,"Linear, Round, Square, Other",MultanodeArrangement,,,,,
3,,,,,,,HeadOn,This is True if the Photocathode is positioned at either end of the vacuum tube. This is False if the photocathode element is located on the side of the vacuum tube (side-on geometry).,boolean,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,PhotoDiode,,This element represents a Photovoltaic Detector. Most photodiodes used in confocal microscopes are Avalanche Photodiode (APD) which because of the amplification gain have good sensitivities and less dark current.,,,,,,,,
2,,,,,,,Avalanche,"This field records whether (True) or not (False) this is an ""Avalanche"" Photodiode.",boolean,,,,,,,
3,,,,,,,PINJunction,This field records whether this photodiode is based on a Positive-Intermediate-Negative (PIN) or a Positive-Negative (PN) architecture.,boolean,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,HybridPhotoDetector,,This element represents a hybrid Photomultiplier and Avalanche Photodiode (APD).,,,,,,,,
e,,,,,,,,,,,,,,,,
1,,,,GenericDetector,,,,"This element is used to represent a Generic Detector as a collection of Key/Value pairs, which are stored in a Map. One of the other detector elements should always be used in preference to this if possible.",,,,,,,,
2,,,,,Map,,,This is a Mapping of Key/Value pairs used to store customized metadata that describes this element.,element,,,,,,,
